STDM_TAZ,State,County,MPO,IsMPO,ITDDist,Area,DayPark,HourPark,AgforF,MiningF,UtilF,ConstrF,ManufF,WhlsaleF,RetailF,TrawhseF,InfoF,FininsF,EduK12,EduHigh,EduOthers,RealestF,ProftechF,MgmtF,WastadmnF,HealthF,ArtsentF,FoodlodgF,OtherF,PublicF,TotEmp,STATEFPS,COUNTYFPS,CNTYIDFP00,TOTPOP_T,TOTHH_T,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHSIZE5,HHSIZE6,HHSIZE7,HHWORK0,HHWORK1,HHWORK2,HHWORK3,CATINC1,CATINC2,CATINC3,HHSIZE1_O,HHWORK0_O,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHINC7,HHINC8,HHINC9,HHINC10,HHINC11,HHINC12,HHINC13,HHINC14,HHINC15,HHINC16,ShadowPrice,destinationChoiceDistrict
45,Idaho,Ada,COMPASS,1,3,47030.65954,0,0,0,0,0,0,0,1,39,0,0,14,0,0,0,0,0,1,0,11,0,16,23,0,105,16,1,16001,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
46,Idaho,Ada,COMPASS,1,3,22749.10669,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,55,0,0,59,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
47,Idaho,Ada,COMPASS,1,3,23730.50226,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,107,1,0,0,0,2,0,1,137,16,1,16001,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
48,Idaho,Ada,COMPASS,1,3,47896.21258,0,0,0,0,0,44,13,37,96,2,87,50,0,0,0,51,181,1,74,2,81,346,8,4,1077,16,1,16001,18,11,4,7,0,0,0,0,0,4,6,1,0,6,4,1,4,4,2,2,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,3
49,Idaho,Ada,COMPASS,1,3,431386.0707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,24,17,0,66,16,1,16001,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
50,Idaho,Ada,COMPASS,1,3,127715.406,0,0,0,0,0,0,79,0,30,0,10,119,0,0,0,257,554,0,89,297,0,168,0,168,1771,16,1,16001,451,295,188,73,22,9,3,0,0,98,161,34,2,159,90,46,188,99,48,57,26,10,18,33,22,14,2,19,7,11,19,0,2,7,1,3
51,Idaho,Ada,COMPASS,1,3,111582.3601,0,0,0,0,0,19,0,2,198,0,0,79,0,0,0,0,65,0,1,0,0,0,3,0,367,16,1,16001,4,4,4,0,0,0,0,0,0,2,2,0,0,2,0,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
52,Idaho,Ada,COMPASS,1,3,4838.055876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
53,Idaho,Ada,COMPASS,1,3,68933.49818,0.03,1.00E-02,0,0,0,0,0,72,0,14,0,0,0,0,0,0,0,0,2,0,47,0,0,0,135,16,1,16001,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
54,Idaho,Ada,COMPASS,1,3,41431.93923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
55,Idaho,Ada,COMPASS,1,3,49011.68194,0,0,0,0,0,0,0,1,17,0,1,0,19,0,0,0,6,0,19,0,91,18,2,1,175,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
56,Idaho,Ada,COMPASS,1,3,38004.7889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,17,16,1,16001,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
57,Idaho,Ada,COMPASS,1,3,102312.8428,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,6,150,3,6,21,2,215,16,1,16001,413,236,125,60,20,21,8,1,1,78,129,27,2,127,71,38,124,79,38,46,21,8,14,26,18,11,1,15,6,9,16,0,2,5,1,3
58,Idaho,Ada,COMPASS,1,3,28892.04479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
59,Idaho,Ada,COMPASS,1,3,81795.40496,0,0,0,0,0,0,16,166,20,0,1,0,0,0,0,0,7,0,0,10,0,0,0,0,220,16,1,16001,249,89,48,24,6,3,8,0,0,29,49,10,1,47,28,14,48,30,14,17,8,3,5,10,7,4,1,6,2,3,6,0,1,2,1,3
60,Idaho,Ada,COMPASS,1,3,26584.6833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
61,Idaho,Ada,COMPASS,1,3,123269.4396,0,0,0,0,0,0,0,33,17,8,0,1,0,0,0,0,10,1,0,1,0,4,7,0,82,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
62,Idaho,Ada,COMPASS,1,3,95686.39773,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,25,9,0,0,14,0,3,6,1,91,16,1,16001,75,56,38,17,1,0,0,0,0,19,31,6,0,30,17,9,38,19,9,11,5,2,3,6,4,3,0,4,1,2,4,0,0,1,1,3
63,Idaho,Ada,COMPASS,1,3,151627.2867,0,0,0,0,0,6,0,49,0,0,0,15,0,0,0,0,32,0,0,0,0,4,13,0,119,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
64,Idaho,Ada,COMPASS,1,3,46180.76142,0,0,0,0,0,18,3,0,26,0,12,6,0,0,0,3,6,2,678,2,0,0,0,4,760,16,1,16001,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
65,Idaho,Ada,COMPASS,1,3,56219.24979,0,0,0,0,0,0,0,73,60,0,28,12,0,0,1,48,157,0,13,0,0,37,21,469,919,16,1,16001,87,68,46,17,5,0,0,0,0,23,37,8,0,36,20,12,46,23,11,13,6,2,4,8,5,3,0,4,2,3,4,0,0,2,1,3
66,Idaho,Ada,COMPASS,1,3,22910.47308,0,0,0,0,0,0,0,0,0,0,15,2,0,0,1,31,38,2,22,0,0,0,0,86,197,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
67,Idaho,Ada,COMPASS,1,3,11176.5526,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,29,0,0,0,0,0,0,1,42,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
68,Idaho,Ada,COMPASS,1,3,39546.87212,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,3,97,0,0,0,0,0,1,3,143,16,1,16001,38,23,12,7,4,0,0,0,0,7,13,3,0,12,7,4,12,8,4,4,2,1,1,3,2,1,0,1,1,1,2,0,0,1,1,3
69,Idaho,Ada,COMPASS,1,3,103833.0744,0,0,0,0,0,0,0,36,30,0,0,0,0,0,0,0,0,0,0,19,0,0,15,0,100,16,1,16001,156,133,116,14,2,0,0,1,0,45,72,15,1,72,41,20,116,45,22,26,12,4,8,15,10,6,1,9,3,5,9,0,1,3,1,3
70,Idaho,Ada,COMPASS,1,3,116743.3845,0,0,24,0,0,1,0,9,0,1,82,135,0,0,0,13,108,27,22,3,10,72,29,1,537,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
71,Idaho,Ada,COMPASS,1,3,55931.40196,0,0,0,0,1,1,4,12,4,0,1,42,0,0,2,11,55,3,39,2,19,6,24,1,227,16,1,16001,3,3,3,0,0,0,0,0,0,1,2,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
72,Idaho,Ada,COMPASS,1,3,44610.057,0,0,0,0,0,0,54,0,32,0,0,0,0,0,0,0,1,25,0,4,3,103,8,3,233,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
73,Idaho,Ada,COMPASS,1,3,132717.2808,0,0,0,0,0,0,37,0,23,0,0,0,0,0,0,0,1,18,0,3,2,72,6,2,164,16,1,16001,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
74,Idaho,Ada,COMPASS,1,3,80805.42158,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,86,0,167,0,0,84,5,0,353,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
75,Idaho,Ada,COMPASS,1,3,43386.67632,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,16,0,0,1,0,9,6,0,51,16,1,16001,88,45,18,12,11,2,2,0,0,15,25,5,0,25,13,7,19,15,7,9,4,2,3,5,3,2,0,3,1,2,3,0,0,1,1,3
76,Idaho,Ada,COMPASS,1,3,242866.2309,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,104,16,1,16001,599,319,146,113,40,15,4,1,0,86,142,82,9,108,88,123,146,87,20,22,25,22,19,21,11,15,12,29,26,29,20,16,12,19,1,3
77,Idaho,Ada,COMPASS,1,3,301584.1039,0,0,0,0,0,6,0,0,12,0,0,3,102,0,15,0,18,0,0,270,0,0,0,0,426,16,1,16001,634,359,140,136,53,26,3,1,0,98,159,92,10,122,98,139,140,98,23,24,29,25,21,23,12,17,13,33,30,32,22,18,14,22,1,3
