occpCode,occupLevel,catOccp,work_occ 
9230,D3-ProtectTrans Specialists,8,5
9240,D3-ProtectTrans Specialists,8,5
9260,D3-ProtectTrans Specialists,8,5
9300,D3-ProtectTrans Specialists,8,5
9310,D3-ProtectTrans Specialists,8,5
9350,D3-ProtectTrans Specialists,8,5
9360,D4-Blue Collar Unskilled,8,5
9410,D3-ProtectTrans Specialists,8,5
9415,D3-ProtectTrans Specialists,8,5
9420,D3-ProtectTrans Specialists,8,5
9510,D3-ProtectTrans Specialists,8,5
9520,D4-Blue Collar Unskilled,8,5
9560,D3-ProtectTrans Specialists,8,5
9600,D4-Blue Collar Unskilled,8,5
9610,D4-Blue Collar Unskilled,8,5
9620,D4-Blue Collar Unskilled,8,5
9630,D4-Blue Collar Unskilled,8,5
9640,D4-Blue Collar Unskilled,8,5
9650,D3-ProtectTrans Specialists,8,5
9720,D4-Blue Collar Unskilled,8,5
9750,D3-ProtectTrans Specialists,8,5
9800,D3-ProtectTrans Specialists,8,1
9810,D3-ProtectTrans Specialists,8,1
9820,D3-ProtectTrans Specialists,8,2
9830,D3-ProtectTrans Specialists,8,2
9920,No_Occupation,0,0
