dms_orig,dms_dest,description,state
#------------------------------------------------------+
# Alaska (20) to and from...                           |
#------------------------------------------------------+
531,171,Chicago-Naperville,IL
531,172,St. Louis-St. Charles-Farmington,IL
531,179,Remainder of Illinois,IL
531,181,Chicago-Naperville,IN
531,182,Indianapolis-Carmel-Muncie,IN
531,183,Fort Wayne-Huntington-Auburn,IN
531,189,Remainder of Indiana,IN
531,190,Iowa,IA
531,201,Kansas City-Overland Park,KS
531,202,Wichita-Arkansas City-Winfield,KS
531,209,Remainder of Kansas,KS
531,211,Cincinnati-Wilmington-Maysville,KY
531,212,Louisville/Jefferson County-Elizabethtown-Madison,KY
531,219,Remainder of Kentucky,KY
531,221,Baton Rouge,LA
531,222,Lake Charles,LA
531,223,New Orleans-Metairie-Hammond,LA
531,229,Remainder of Louisiana,LA
531,230,Maine,ME
531,241,Baltimore-Columbia-Towson,MD
531,242,Washington-Arlington-Alexandria,MD
531,249,Remainder of Maryland,MD
531,251,Boston-Worcester-Providence,MA
531,259,Remainder of Massachusetts,MA
531,261,Detroit-Warren-Ann Arbor,MI
531,262,Grand Rapids-Wyoming-Muskegon,MI
531,269,Remainder of Michigan,MI 
531,271,Minneapolis-St. Paul,MN
531,279,Remainder of Minnesota,MN
531,280,Mississippi,MS
531,291,Kansas City,MO
531,292,St. Louis-St. Charles-Farmington,MO
531,299,Remainder of Missouri,MO
531,300,Montana,MT
531,311,Omaha-Council Bluffs-Fremont,NE
531,319,Remainder of Nebraska,NE
531,321,Las Vegas-Henderson,NV
531,331,Providence,NH
531,339,Remainder of New Hampshire,NH
531,341,Newark,NJ
531,342,Camden,NJ
531,350,New Mexico,NM
531,361,Albany-Schenectady,NY
531,362,Buffalo-Cheektowaga,NY
531,363,New York,NY
531,364,Rochester-Batavia-Seneca Falls,NY
531,369,Remainder of New York,NY
531,371,Charlotte-Concord,NC
531,372,Greensboro-Winston-Salem-High Point,NC
531,373,Raleigh-Durham-Chapel Hill,NC
531,379,Remainder of North Carolina,NC
531,380,North Dakota,ND
531,391,Cincinnati-Wilmington,OH
531,392,Cleveland-Akron-Canton,OH
531,393,Columbus-Marion-Zanesville,OH
531,394,Dayton-Springfield-Sidney,OH
531,399,Remainder of Ohio,OH
531,401,Oklahoma City-Shawnee,OK
531,402,Tulsa-Muskogee-Bartlesville,OK
531,409,Remainder of Oklahoma,OK
531,421,Philadelphia-Reading,PA
531,422,Pittsburgh-New Castle-Weirton,PA
531,423,New York-Newark,PA
531,429,Remainder of Pennsylvania,PA
531,441,Rhode Island,RI
531,451,Charleston-North Charleston-Summerville,SC
531,452,Greenville-Spartanburg-Anderson,SC
531,459,Remainder of South Carolina,SC
531,460,South Dakota,SD
531,471,Memphis,TN
531,472,Nashville-Davidson-Murfreesboro,TN
531,473,Knoxville-Morristown-Sevierville,TN
531,479,Remainder of Tennessee,TN
531,481,Austin-Round Rock,TX
531,482,Beaumont-Port Arthur,TX
531,483,Corpus Christi-Kingsville-Alice,TX
531,484,Dallas-Fort Worth,TX
531,485,El Paso,TX 
531,486,Houston-The Woodlands,TX
531,487,Laredo,TX
531,488,San Antonio-New Braunfels,TX
531,489,Remainder of Texas,TX
531,491,Salt Lake City-Provo-Orem,UT
531,499,Remainder of Utah,UT 
531,500,Vermont,VT 
531,511,Richmond,VA
531,512,Virginia Beach-Norfolk,VA
531,513,Arlington-Alexandria,VA
531,519,Remainder of Virginia,VA
531,540,West Virginia,WV
531,551,Milwaukee-Racine-Waukesha,WI
531,559,Remainder of Wisconsin,WI
531,560,Wyoming,WY
#------------------------------------------------------+
# Vancouver WA (532) to and from                       |
#------------------------------------------------------+
532,11,Birmingham-Hoover-Talladega,AL
532,12,Mobile-Daphne-Fairhope,AL
532,19,Remainder of Alabama,AL
532,41,Phoenix-Mesa-Glendale,AZ
532,42,Tucson-Nogales,AZ
532,49,Remainder of Arizona,AZ
532,50,Arkansas,AR
532,81,Denver-Aurora,CO
532,89,Remainder of Colorado,CO
532,91,Hartford-West Hartford-East Hartford,CT
532,92,New York-Newark,CT
532,99,Remainder of Connecticut,CT
532,101,Philadelphia-Reading-Camden,DE
532,109,Remainder of Delaware,DE
532,111,Washington,DC
532,121,Jacksonville-Palatka,FL
532,122,Miami-Fort Lauderdale-Port St. Lucie,FL
532,123,Orlando-Deltona-Daytona Beach,FL
532,124,Tampa-St. Petersburg-Clearwater,FL
532,129,Remainder of Florida,FL
532,131,Atlanta-Athens-Clarke County-Sandy Springs,GA
532,132,Savannah-Hinesville-Statesboro,GA
532,139,Remainder of Georgia,GA
532,151,Honolulu,HI
532,159,Remainder of Hawaii,HI
532,160,Idaho,ID
532,171,Chicago-Naperville,IL
532,172,St. Louis-St. Charles-Farmington,IL
532,179,Remainder of Illinois,IL
532,181,Chicago-Naperville,IN
532,182,Indianapolis-Carmel-Muncie,IN
532,183,Fort Wayne-Huntington-Auburn,IN
532,189,Remainder of Indiana,IN
532,190,Iowa,IA
532,201,Kansas City-Overland Park,KS
532,202,Wichita-Arkansas City-Winfield,KS
532,209,Remainder of Kansas,KS
532,211,Cincinnati-Wilmington-Maysville,KY
